strategy,load,density,repetition,seed,requests,providers,critical_mean_wait_h,critical_p95_wait_h,urgent_within_6h_pct,mean_wait_h,p95_wait_h,utilisation_gini,mean_distance_km,cross_cluster_pct,completed_within_horizon_pct,regional_fairness_jain,escalated_pct,unassigned_pct
FIFO,MEDIUM,SPARSE,1,20261918,144,6,35.4433,53.5500,23.0769,29.1414,52.4167,0.0085,58.7561,71.5278,56.2500,0.9834,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,1,20261918,144,6,2.4983,12.3000,63.4615,25.9306,88.0333,0.0123,50.2050,59.7222,59.7222,0.9947,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,1,20261918,144,6,6.4725,20.0833,71.1538,9.6785,47.8667,0.0155,24.5815,25.0000,86.8056,0.9859,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,1,20261918,144,6,0.9600,2.8500,96.1538,18.0352,74.3667,0.0117,34.5243,36.8056,68.7500,0.9862,0.0000,0.0000
FIFO,MEDIUM,SPARSE,2,20261919,144,6,15.2750,38.1333,32.0755,18.8642,38.6833,0.0104,51.1217,60.4167,61.8056,0.9989,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,2,20261919,144,6,4.6192,15.6333,62.2642,21.1275,67.8000,0.0087,52.4173,61.1111,58.3333,0.9934,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,2,20261919,144,6,10.2833,48.7833,64.1509,9.2789,46.3667,0.0113,29.1275,30.5556,77.0833,0.9900,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,2,20261919,144,6,0.8833,2.4000,94.3396,14.8361,51.9333,0.0130,36.9758,40.9722,68.0556,0.9832,0.0000,0.0000
FIFO,MEDIUM,SPARSE,3,20261920,144,6,25.2042,44.1500,24.0741,24.0815,45.1667,0.0132,55.5954,69.4444,56.9444,0.9866,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,3,20261920,144,6,1.9875,9.4333,61.1111,24.1388,82.5000,0.0102,55.1016,68.0556,56.9444,0.9967,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,3,20261920,144,6,7.5458,38.2167,74.0741,7.3813,34.1833,0.0135,27.1428,26.3889,81.9444,0.9964,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,3,20261920,144,6,0.5264,1.6000,100.0000,12.1553,51.8000,0.0139,32.9687,35.4167,73.6111,0.9982,0.0000,0.0000
FIFO,MEDIUM,SPARSE,4,20261921,144,6,20.4940,43.3167,31.4815,22.0574,42.8000,0.0127,49.4389,59.0278,59.7222,0.9844,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,4,20261921,144,6,2.6131,30.3500,66.6667,23.8997,86.1667,0.0131,54.3133,65.9722,57.6389,0.9394,0.6944,0.0000
GEO_NEAREST,MEDIUM,SPARSE,4,20261921,144,6,16.1393,65.0333,66.6667,10.0436,50.4000,0.0113,32.6871,36.1111,77.7778,0.9902,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,4,20261921,144,6,1.3143,3.6167,83.3333,15.0819,63.1333,0.0105,34.5254,36.1111,68.0556,0.9775,0.0000,0.0000
FIFO,MEDIUM,SPARSE,5,20261922,144,6,8.5722,35.6000,41.8605,15.1962,35.9333,0.0142,47.1731,58.3333,63.1944,0.9820,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,5,20261922,144,6,0.1389,0.8333,83.7209,19.9670,72.8833,0.0115,53.5225,68.7500,56.9444,0.9849,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,5,20261922,144,6,1.9889,10.6000,79.0698,6.0123,29.7333,0.0195,28.9633,29.8611,77.0833,0.9992,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,5,20261922,144,6,0.1000,0.6000,93.0233,10.6257,42.0000,0.0172,36.3676,40.9722,65.9722,0.9894,0.0000,0.0000
FIFO,MEDIUM,SPARSE,6,20261923,144,6,25.3133,43.0167,27.6596,22.0404,43.2000,0.0091,52.2318,66.6667,57.6389,0.9996,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,6,20261923,144,6,2.6333,12.4500,72.3404,18.3707,68.4000,0.0118,49.2157,61.1111,63.1944,0.9783,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,6,20261923,144,6,3.1817,12.3333,61.7021,8.0817,34.3000,0.0094,28.6209,30.5556,78.4722,0.9961,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,6,20261923,144,6,0.7400,2.3333,93.6170,13.5446,46.9000,0.0086,34.8765,38.1944,66.6667,0.9927,0.0000,0.0000
FIFO,MEDIUM,SPARSE,7,20261924,144,6,21.4789,44.4000,40.0000,23.0219,43.6333,0.0114,50.6223,65.2778,59.0278,0.9488,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,7,20261924,144,6,1.7746,10.2000,77.7778,22.2299,81.0167,0.0108,49.7855,65.2778,59.7222,0.9969,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,7,20261924,144,6,6.4588,36.6500,66.6667,9.9228,52.6667,0.0132,31.4276,34.7222,77.7778,0.9846,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,7,20261924,144,6,1.0500,4.4500,91.1111,14.5429,59.4500,0.0083,32.4885,35.4167,68.7500,0.9811,0.0000,0.0000
FIFO,MEDIUM,SPARSE,8,20261925,144,6,19.8643,38.4500,32.7273,22.1052,41.9167,0.0064,52.0491,69.4444,60.4167,0.9819,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,8,20261925,144,6,1.1452,3.9500,61.8182,22.1330,85.2833,0.0089,50.0197,64.5833,57.6389,0.9735,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,8,20261925,144,6,17.6976,46.8333,76.3636,8.2999,41.0000,0.0205,28.4573,29.1667,78.4722,0.9912,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,8,20261925,144,6,1.6262,3.5833,94.5455,14.8130,64.7000,0.0167,35.4115,39.5833,66.6667,0.9939,0.0000,0.0000
FIFO,MEDIUM,SPARSE,9,20261926,144,6,20.9183,37.6167,24.5283,19.2641,38.7000,0.0105,49.9221,60.4167,59.0278,0.9764,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,9,20261926,144,6,1.7750,7.6667,66.0377,18.1181,73.6333,0.0085,48.4715,59.0278,60.4167,0.9879,0.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,9,20261926,144,6,9.1900,28.7500,64.1509,7.3446,28.7500,0.0118,27.9930,26.3889,79.8611,0.9996,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,9,20261926,144,6,1.5283,3.7167,84.9057,11.8076,52.1833,0.0123,37.4186,41.6667,69.4444,0.9866,0.0000,0.0000
FIFO,MEDIUM,DENSE,0,20262017,144,18,0.0530,0.3000,100.0000,0.0280,0.2833,0.0355,54.8667,63.8889,90.2778,1.0000,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,0,20262017,144,18,0.0530,0.3000,100.0000,0.0280,0.2833,0.0355,54.8667,63.8889,90.2778,1.0000,0.0000,0.0000
GEO_NEAREST,MEDIUM,DENSE,0,20262017,144,18,0.2379,1.2833,100.0000,0.0456,0.3833,0.3325,8.8830,1.3889,95.8333,1.0000,0.6944,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,0,20262017,144,18,0.2379,1.2833,100.0000,0.0456,0.3833,0.3325,8.8830,1.3889,95.8333,1.0000,0.6944,0.0000
FIFO,MEDIUM,DENSE,1,20262018,144,18,0.0095,0.1333,100.0000,0.0546,0.4000,0.0369,53.0236,65.9722,95.1389,1.0000,0.6944,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,1,20262018,144,18,0.0095,0.1333,100.0000,0.0546,0.4000,0.0369,53.0236,65.9722,95.1389,1.0000,0.0000,0.0000
GEO_NEAREST,MEDIUM,DENSE,1,20262018,144,18,0.0143,0.2000,100.0000,0.0116,0.0500,0.2721,9.4119,2.0833,96.5278,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,1,20262018,144,18,0.0143,0.2000,100.0000,0.0116,0.0500,0.2721,9.4119,2.0833,96.5278,1.0000,0.0000,0.0000
FIFO,MEDIUM,DENSE,2,20262019,144,18,0.0000,0.0000,100.0000,0.0213,0.1167,0.0575,51.4858,59.7222,95.1389,1.0000,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,2,20262019,144,18,0.0000,0.0000,100.0000,0.0213,0.1167,0.0575,51.4858,59.7222,95.1389,1.0000,0.0000,0.0000
GEO_NEAREST,MEDIUM,DENSE,2,20262019,144,18,0.0056,0.0667,100.0000,0.0203,0.1333,0.3181,9.1266,1.3889,97.9167,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,2,20262019,144,18,0.0056,0.0667,100.0000,0.0203,0.1333,0.3181,9.1266,1.3889,97.9167,1.0000,0.0000,0.0000
FIFO,MEDIUM,DENSE,3,20262020,144,18,0.0925,0.4500,100.0000,0.0400,0.3000,0.0534,55.4075,68.7500,95.1389,1.0000,0.6944,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,3,20262020,144,18,0.0925,0.4500,100.0000,0.0400,0.3000,0.0534,55.4075,68.7500,95.1389,1.0000,0.6944,0.0000
GEO_NEAREST,MEDIUM,DENSE,3,20262020,144,18,0.0108,0.0000,100.0000,0.0282,0.2833,0.2202,8.0493,0.0000,97.2222,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,3,20262020,144,18,0.0108,0.0000,100.0000,0.0282,0.2833,0.2202,8.0493,0.0000,97.2222,1.0000,0.0000,0.0000
FIFO,MEDIUM,DENSE,4,20262021,144,18,0.0300,0.3000,100.0000,0.0326,0.2167,0.0617,56.4876,72.2222,93.7500,1.0000,0.6944,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,4,20262021,144,18,0.0300,0.3000,100.0000,0.0326,0.2167,0.0617,56.4876,72.2222,93.7500,1.0000,0.6944,0.0000
GEO_NEAREST,MEDIUM,DENSE,4,20262021,144,18,0.0333,0.3333,100.0000,0.0417,0.3833,0.2874,8.0297,0.6944,95.8333,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,4,20262021,144,18,0.0333,0.3333,100.0000,0.0417,0.3833,0.2874,8.0297,0.6944,95.8333,1.0000,0.0000,0.0000
